hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
11,Itanagar,27.100174,93.604004,31.2,4.3,60,2026-05-30,Medium,Low,Moderate
12,Itanagar,27.100174,93.604004,29.4,1.5,77,2026-05-30,Medium,Low,High
13,Itanagar,27.100174,93.604004,27.6,1.5,78,2026-05-30,Medium,Low,High
14,Itanagar,27.100174,93.604004,26.6,3.1,82,2026-05-30,Medium,Low,Very High
15,Itanagar,27.100174,93.604004,25.5,3.3,87,2026-05-30,Medium,Low,Very High
16,Itanagar,27.100174,93.604004,24.8,3.7,87,2026-05-30,Cool,Low,Very High
17,Itanagar,27.100174,93.604004,24.5,4.0,85,2026-05-30,Cool,Low,Very High
18,Itanagar,27.100174,93.604004,24.1,3.5,84,2026-05-30,Cool,Low,Very High
19,Itanagar,27.100174,93.604004,23.7,2.9,83,2026-05-30,Cool,Low,Very High
20,Itanagar,27.100174,93.604004,23.4,2.8,83,2026-05-30,Cool,Low,Very High
21,Itanagar,27.100174,93.604004,23.6,2.7,83,2026-05-30,Cool,Low,Very High
22,Itanagar,27.100174,93.604004,24.2,1.6,81,2026-05-30,Cool,Low,Very High
23,Itanagar,27.100174,93.604004,24.6,2.2,79,2026-05-30,Cool,Low,High
0,Itanagar,27.100174,93.604004,25.7,3.9,81,2026-05-31,Medium,Low,Very High
1,Itanagar,27.100174,93.604004,27.2,1.3,74,2026-05-31,Medium,Low,High
2,Itanagar,27.100174,93.604004,29.0,4.5,68,2026-05-31,Medium,Low,High
3,Itanagar,27.100174,93.604004,30.0,6.9,65,2026-05-31,Medium,Moderate,High
4,Itanagar,27.100174,93.604004,31.0,7.5,61,2026-05-31,Medium,Moderate,High
5,Itanagar,27.100174,93.604004,31.8,8.0,58,2026-05-31,Medium,Moderate,Moderate
6,Itanagar,27.100174,93.604004,32.3,9.1,56,2026-05-31,Hot,Moderate,Moderate
7,Itanagar,27.100174,93.604004,32.2,9.2,59,2026-05-31,Hot,Moderate,Moderate
8,Itanagar,27.100174,93.604004,32.4,7.6,59,2026-05-31,Hot,Moderate,Moderate
9,Itanagar,27.100174,93.604004,32.1,7.7,59,2026-05-31,Hot,Moderate,Moderate
