hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
0,Bengaluru,12.970123,77.56364,21.5,7.6,97,2026-05-28,Cool,Moderate,Very High
1,Bengaluru,12.970123,77.56364,21.5,8.8,98,2026-05-28,Cool,Moderate,Very High
2,Bengaluru,12.970123,77.56364,22.7,10.5,90,2026-05-28,Cool,High,Very High
3,Bengaluru,12.970123,77.56364,24.4,8.9,82,2026-05-28,Cool,Moderate,Very High
4,Bengaluru,12.970123,77.56364,26.3,10.1,72,2026-05-28,Medium,High,High
5,Bengaluru,12.970123,77.56364,27.7,9.7,64,2026-05-28,Medium,Moderate,High
6,Bengaluru,12.970123,77.56364,29.0,9.3,59,2026-05-28,Medium,Moderate,Moderate
7,Bengaluru,12.970123,77.56364,29.8,8.6,55,2026-05-28,Medium,Moderate,Moderate
8,Bengaluru,12.970123,77.56364,30.4,7.9,52,2026-05-28,Medium,Moderate,Moderate
9,Bengaluru,12.970123,77.56364,30.5,7.3,52,2026-05-28,Medium,Moderate,Moderate
10,Bengaluru,12.970123,77.56364,30.2,6.4,54,2026-05-28,Medium,Moderate,Moderate
11,Bengaluru,12.970123,77.56364,29.7,6.7,55,2026-05-28,Medium,Moderate,Moderate
12,Bengaluru,12.970123,77.56364,28.0,5.1,61,2026-05-28,Medium,Moderate,High
13,Bengaluru,12.970123,77.56364,25.8,5.0,74,2026-05-28,Medium,Low,High
14,Bengaluru,12.970123,77.56364,23.6,9.3,85,2026-05-28,Cool,Moderate,Very High
15,Bengaluru,12.970123,77.56364,21.9,11.3,92,2026-05-28,Cool,High,Very High
16,Bengaluru,12.970123,77.56364,21.4,4.2,93,2026-05-28,Cool,Low,Very High
17,Bengaluru,12.970123,77.56364,21.4,7.1,95,2026-05-28,Cool,Moderate,Very High
18,Bengaluru,12.970123,77.56364,21.5,7.3,92,2026-05-28,Cool,Moderate,Very High
19,Bengaluru,12.970123,77.56364,21.2,8.8,93,2026-05-28,Cool,Moderate,Very High
20,Bengaluru,12.970123,77.56364,21.0,9.4,94,2026-05-28,Cool,Moderate,Very High
21,Bengaluru,12.970123,77.56364,20.9,9.2,96,2026-05-28,Cool,Moderate,Very High
22,Bengaluru,12.970123,77.56364,20.9,9.0,97,2026-05-28,Cool,Moderate,Very High
23,Bengaluru,12.970123,77.56364,20.9,9.8,98,2026-05-28,Cool,Moderate,Very High
0,Bengaluru,12.970123,77.56364,20.9,9.1,98,2026-05-29,Cool,Moderate,Very High
1,Bengaluru,12.970123,77.56364,21.0,8.4,97,2026-05-29,Cool,Moderate,Very High
2,Bengaluru,12.970123,77.56364,22.2,10.1,90,2026-05-29,Cool,High,Very High
3,Bengaluru,12.970123,77.56364,23.9,9.3,82,2026-05-29,Cool,Moderate,Very High
4,Bengaluru,12.970123,77.56364,25.8,11.0,74,2026-05-29,Medium,High,High
5,Bengaluru,12.970123,77.56364,27.6,11.2,65,2026-05-29,Medium,High,High
6,Bengaluru,12.970123,77.56364,29.1,10.5,59,2026-05-29,Medium,High,Moderate
7,Bengaluru,12.970123,77.56364,30.3,10.1,55,2026-05-29,Medium,High,Moderate
8,Bengaluru,12.970123,77.56364,31.0,9.4,51,2026-05-29,Medium,Moderate,Moderate
9,Bengaluru,12.970123,77.56364,31.5,9.0,50,2026-05-29,Medium,Moderate,Moderate
10,Bengaluru,12.970123,77.56364,31.2,9.1,48,2026-05-29,Medium,Moderate,Moderate
11,Bengaluru,12.970123,77.56364,30.5,7.9,51,2026-05-29,Medium,Moderate,Moderate
12,Bengaluru,12.970123,77.56364,29.2,0.6,57,2026-05-29,Medium,Low,Moderate
13,Bengaluru,12.970123,77.56364,25.6,5.1,78,2026-05-29,Medium,Moderate,High
14,Bengaluru,12.970123,77.56364,23.2,8.7,90,2026-05-29,Cool,Moderate,Very High
15,Bengaluru,12.970123,77.56364,20.5,5.8,98,2026-05-29,Cool,Moderate,Very High
16,Bengaluru,12.970123,77.56364,21.2,6.6,97,2026-05-29,Cool,Moderate,Very High
17,Bengaluru,12.970123,77.56364,21.5,7.6,98,2026-05-29,Cool,Moderate,Very High
18,Bengaluru,12.970123,77.56364,21.5,10.3,96,2026-05-29,Cool,High,Very High
