hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
12,Chennai,13.110721,80.2459,32.8,13.3,65,2026-05-30,Hot,High,High
13,Chennai,13.110721,80.2459,31.8,12.3,68,2026-05-30,Medium,High,High
14,Chennai,13.110721,80.2459,31.5,10.3,69,2026-05-30,Medium,High,High
15,Chennai,13.110721,80.2459,31.7,10.8,68,2026-05-30,Medium,High,High
16,Chennai,13.110721,80.2459,31.5,12.1,71,2026-05-30,Medium,High,High
17,Chennai,13.110721,80.2459,31.1,12.2,73,2026-05-30,Medium,High,High
18,Chennai,13.110721,80.2459,30.9,10.3,73,2026-05-30,Medium,High,High
19,Chennai,13.110721,80.2459,30.5,9.6,75,2026-05-30,Medium,Moderate,High
20,Chennai,13.110721,80.2459,30.3,9.4,75,2026-05-30,Medium,Moderate,High
21,Chennai,13.110721,80.2459,30.0,9.3,73,2026-05-30,Medium,Moderate,High
22,Chennai,13.110721,80.2459,29.8,9.0,71,2026-05-30,Medium,Moderate,High
23,Chennai,13.110721,80.2459,29.4,9.2,70,2026-05-30,Medium,Moderate,High
0,Chennai,13.110721,80.2459,29.1,8.0,69,2026-05-31,Medium,Moderate,High
1,Chennai,13.110721,80.2459,29.4,9.0,68,2026-05-31,Medium,Moderate,High
2,Chennai,13.110721,80.2459,30.8,10.6,60,2026-05-31,Medium,High,Moderate
3,Chennai,13.110721,80.2459,32.9,10.6,51,2026-05-31,Hot,High,Moderate
4,Chennai,13.110721,80.2459,34.9,8.8,46,2026-05-31,Hot,Moderate,Moderate
5,Chennai,13.110721,80.2459,36.8,5.0,41,2026-05-31,Hot,Low,Moderate
6,Chennai,13.110721,80.2459,37.7,3.1,39,2026-05-31,Hot,Low,Moderate
7,Chennai,13.110721,80.2459,37.9,5.8,41,2026-05-31,Hot,Moderate,Moderate
8,Chennai,13.110721,80.2459,36.3,12.3,49,2026-05-31,Hot,High,Moderate
9,Chennai,13.110721,80.2459,34.6,6.8,58,2026-05-31,Hot,Moderate,Moderate
10,Chennai,13.110721,80.2459,32.1,7.6,64,2026-05-31,Hot,Moderate,High
11,Chennai,13.110721,80.2459,32.2,2.9,65,2026-05-31,Hot,Low,High
12,Chennai,13.110721,80.2459,32.8,7.5,62,2026-05-31,Hot,Moderate,High
13,Chennai,13.110721,80.2459,31.8,10.9,66,2026-05-31,Medium,High,High
14,Chennai,13.110721,80.2459,30.7,11.8,70,2026-05-31,Medium,High,High
15,Chennai,13.110721,80.2459,30.2,11.5,74,2026-05-31,Medium,High,High
16,Chennai,13.110721,80.2459,29.8,10.7,77,2026-05-31,Medium,High,High
17,Chennai,13.110721,80.2459,29.4,10.0,79,2026-05-31,Medium,Moderate,High
18,Chennai,13.110721,80.2459,28.9,10.8,78,2026-05-31,Medium,High,High
19,Chennai,13.110721,80.2459,28.5,10.9,78,2026-05-31,Medium,High,High
20,Chennai,13.110721,80.2459,28.0,14.1,78,2026-05-31,Medium,High,High
21,Chennai,13.110721,80.2459,27.8,11.0,77,2026-05-31,Medium,High,High
22,Chennai,13.110721,80.2459,27.5,8.8,77,2026-05-31,Medium,Moderate,High
23,Chennai,13.110721,80.2459,27.1,10.8,77,2026-05-31,Medium,High,High
0,Chennai,13.110721,80.2459,26.9,8.6,77,2026-06-01,Medium,Moderate,High
1,Chennai,13.110721,80.2459,27.9,8.9,73,2026-06-01,Medium,Moderate,High
2,Chennai,13.110721,80.2459,29.4,9.6,69,2026-06-01,Medium,Moderate,High
3,Chennai,13.110721,80.2459,31.0,9.3,64,2026-06-01,Medium,Moderate,High
4,Chennai,13.110721,80.2459,32.8,6.5,57,2026-06-01,Hot,Moderate,Moderate
5,Chennai,13.110721,80.2459,34.8,2.5,50,2026-06-01,Hot,Low,Moderate
6,Chennai,13.110721,80.2459,36.0,1.6,46,2026-06-01,Hot,Low,Moderate
7,Chennai,13.110721,80.2459,36.2,5.8,48,2026-06-01,Hot,Moderate,Moderate
8,Chennai,13.110721,80.2459,35.8,10.2,54,2026-06-01,Hot,High,Moderate
9,Chennai,13.110721,80.2459,35.0,13.3,59,2026-06-01,Hot,High,Moderate
10,Chennai,13.110721,80.2459,34.2,14.5,62,2026-06-01,Hot,High,High
11,Chennai,13.110721,80.2459,33.2,14.4,64,2026-06-01,Hot,High,High
12,Chennai,13.110721,80.2459,32.5,13.8,66,2026-06-01,Hot,High,High
13,Chennai,13.110721,80.2459,32.0,13.2,69,2026-06-01,Medium,High,High
14,Chennai,13.110721,80.2459,31.6,12.8,71,2026-06-01,Medium,High,High
15,Chennai,13.110721,80.2459,31.3,12.8,73,2026-06-01,Medium,High,High
16,Chennai,13.110721,80.2459,31.0,12.2,72,2026-06-01,Medium,High,High
17,Chennai,13.110721,80.2459,30.7,11.2,71,2026-06-01,Medium,High,High
18,Chennai,13.110721,80.2459,30.4,10.9,71,2026-06-01,Medium,High,High
19,Chennai,13.110721,80.2459,29.8,10.8,72,2026-06-01,Medium,High,High
20,Chennai,13.110721,80.2459,29.1,10.6,75,2026-06-01,Medium,High,High
21,Chennai,13.110721,80.2459,28.6,10.2,77,2026-06-01,Medium,High,High
22,Chennai,13.110721,80.2459,28.0,9.4,79,2026-06-01,Medium,Moderate,High
23,Chennai,13.110721,80.2459,27.6,8.6,81,2026-06-01,Medium,Moderate,Very High
0,Chennai,13.110721,80.2459,27.7,7.8,79,2026-06-02,Medium,Moderate,High
1,Chennai,13.110721,80.2459,28.6,7.8,73,2026-06-02,Medium,Moderate,High
2,Chennai,13.110721,80.2459,30.2,8.7,65,2026-06-02,Medium,Moderate,High
3,Chennai,13.110721,80.2459,31.8,8.8,57,2026-06-02,Medium,Moderate,Moderate
4,Chennai,13.110721,80.2459,33.7,6.3,50,2026-06-02,Hot,Moderate,Moderate
5,Chennai,13.110721,80.2459,35.5,2.6,44,2026-06-02,Hot,Low,Moderate
6,Chennai,13.110721,80.2459,36.7,2.1,41,2026-06-02,Hot,Low,Moderate
7,Chennai,13.110721,80.2459,36.5,5.8,44,2026-06-02,Hot,Moderate,Moderate
8,Chennai,13.110721,80.2459,35.5,10.3,51,2026-06-02,Hot,High,Moderate
9,Chennai,13.110721,80.2459,34.5,13.6,58,2026-06-02,Hot,High,Moderate
10,Chennai,13.110721,80.2459,33.7,14.4,62,2026-06-02,Hot,High,High
11,Chennai,13.110721,80.2459,33.0,14.1,64,2026-06-02,Hot,High,High
12,Chennai,13.110721,80.2459,32.3,13.6,67,2026-06-02,Hot,High,High
13,Chennai,13.110721,80.2459,31.9,13.4,69,2026-06-02,Medium,High,High
14,Chennai,13.110721,80.2459,31.5,14.0,71,2026-06-02,Medium,High,High
15,Chennai,13.110721,80.2459,31.1,14.7,73,2026-06-02,Medium,High,High
16,Chennai,13.110721,80.2459,30.3,13.8,76,2026-06-02,Medium,High,High
17,Chennai,13.110721,80.2459,29.4,12.0,80,2026-06-02,Medium,High,High
18,Chennai,13.110721,80.2459,28.6,10.3,82,2026-06-02,Medium,High,Very High
19,Chennai,13.110721,80.2459,28.3,9.2,83,2026-06-02,Medium,Moderate,Very High
20,Chennai,13.110721,80.2459,28.2,8.7,83,2026-06-02,Medium,Moderate,Very High
21,Chennai,13.110721,80.2459,28.1,8.4,82,2026-06-02,Medium,Moderate,Very High
22,Chennai,13.110721,80.2459,27.8,8.3,83,2026-06-02,Medium,Moderate,Very High
