hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
13,Mumbai,19.086115,72.85291,31.8,15.1,60,2026-05-30,Medium,Very High,Moderate
14,Mumbai,19.086115,72.85291,31.3,14.4,62,2026-05-30,Medium,High,High
15,Mumbai,19.086115,72.85291,31.2,13.6,62,2026-05-30,Medium,High,High
16,Mumbai,19.086115,72.85291,31.0,14.0,64,2026-05-30,Medium,High,High
17,Mumbai,19.086115,72.85291,30.8,13.7,66,2026-05-30,Medium,High,High
18,Mumbai,19.086115,72.85291,30.8,14.4,67,2026-05-30,Medium,High,High
19,Mumbai,19.086115,72.85291,30.5,14.3,68,2026-05-30,Medium,High,High
20,Mumbai,19.086115,72.85291,30.5,14.7,69,2026-05-30,Medium,High,High
21,Mumbai,19.086115,72.85291,30.4,13.2,69,2026-05-30,Medium,High,High
22,Mumbai,19.086115,72.85291,30.2,11.4,69,2026-05-30,Medium,High,High
23,Mumbai,19.086115,72.85291,29.9,9.5,70,2026-05-30,Medium,Moderate,High
0,Mumbai,19.086115,72.85291,29.9,5.9,70,2026-05-31,Medium,Moderate,High
1,Mumbai,19.086115,72.85291,30.0,7.9,70,2026-05-31,Medium,Moderate,High
2,Mumbai,19.086115,72.85291,31.0,10.6,65,2026-05-31,Medium,High,High
3,Mumbai,19.086115,72.85291,31.7,12.7,62,2026-05-31,Medium,High,High
4,Mumbai,19.086115,72.85291,32.3,13.4,59,2026-05-31,Hot,High,Moderate
5,Mumbai,19.086115,72.85291,33.0,13.4,57,2026-05-31,Hot,High,Moderate
6,Mumbai,19.086115,72.85291,33.5,14.0,55,2026-05-31,Hot,High,Moderate
7,Mumbai,19.086115,72.85291,33.8,14.0,55,2026-05-31,Hot,High,Moderate
8,Mumbai,19.086115,72.85291,34.0,14.0,55,2026-05-31,Hot,High,Moderate
9,Mumbai,19.086115,72.85291,34.0,13.4,55,2026-05-31,Hot,High,Moderate
10,Mumbai,19.086115,72.85291,33.7,13.5,55,2026-05-31,Hot,High,Moderate
11,Mumbai,19.086115,72.85291,32.8,14.5,59,2026-05-31,Hot,High,Moderate
12,Mumbai,19.086115,72.85291,32.2,13.7,61,2026-05-31,Hot,High,High
13,Mumbai,19.086115,72.85291,31.6,12.5,64,2026-05-31,Medium,High,High
14,Mumbai,19.086115,72.85291,31.1,10.7,66,2026-05-31,Medium,High,High
15,Mumbai,19.086115,72.85291,31.0,7.7,67,2026-05-31,Medium,Moderate,High
16,Mumbai,19.086115,72.85291,30.9,6.3,68,2026-05-31,Medium,Moderate,High
