hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
0,Chennai,13.110721,80.2459,29.9,4.4,75,2026-05-29,Medium,Low,High
1,Chennai,13.110721,80.2459,30.0,4.7,74,2026-05-29,Medium,Low,High
2,Chennai,13.110721,80.2459,31.2,11.4,65,2026-05-29,Medium,High,High
3,Chennai,13.110721,80.2459,32.7,15.9,58,2026-05-29,Hot,Very High,Moderate
4,Chennai,13.110721,80.2459,35.0,16.6,47,2026-05-29,Hot,Very High,Moderate
5,Chennai,13.110721,80.2459,36.3,14.5,45,2026-05-29,Hot,High,Moderate
6,Chennai,13.110721,80.2459,38.0,11.4,39,2026-05-29,Hot,High,Moderate
7,Chennai,13.110721,80.2459,38.6,5.0,35,2026-05-29,Extreme Hot,Low,Moderate
8,Chennai,13.110721,80.2459,37.7,8.0,41,2026-05-29,Hot,Moderate,Moderate
9,Chennai,13.110721,80.2459,36.0,14.1,52,2026-05-29,Hot,High,Moderate
10,Chennai,13.110721,80.2459,34.7,15.4,58,2026-05-29,Hot,Very High,Moderate
11,Chennai,13.110721,80.2459,34.1,15.1,56,2026-05-29,Hot,Very High,Moderate
12,Chennai,13.110721,80.2459,33.8,13.9,58,2026-05-29,Hot,High,Moderate
13,Chennai,13.110721,80.2459,33.1,14.3,60,2026-05-29,Hot,High,Moderate
14,Chennai,13.110721,80.2459,32.2,13.4,65,2026-05-29,Hot,High,High
15,Chennai,13.110721,80.2459,31.9,11.0,68,2026-05-29,Medium,High,High
16,Chennai,13.110721,80.2459,31.6,11.3,70,2026-05-29,Medium,High,High
17,Chennai,13.110721,80.2459,31.2,11.7,72,2026-05-29,Medium,High,High
18,Chennai,13.110721,80.2459,30.7,11.3,75,2026-05-29,Medium,High,High
19,Chennai,13.110721,80.2459,30.3,10.8,78,2026-05-29,Medium,High,High
20,Chennai,13.110721,80.2459,30.0,12.8,76,2026-05-29,Medium,High,High
21,Chennai,13.110721,80.2459,30.0,11.8,69,2026-05-29,Medium,High,High
22,Chennai,13.110721,80.2459,29.9,10.7,66,2026-05-29,Medium,High,High
23,Chennai,13.110721,80.2459,29.5,11.9,65,2026-05-29,Medium,High,High
0,Chennai,13.110721,80.2459,29.0,11.9,64,2026-05-30,Medium,High,High
1,Chennai,13.110721,80.2459,29.2,10.4,62,2026-05-30,Medium,High,High
2,Chennai,13.110721,80.2459,30.8,11.9,57,2026-05-30,Medium,High,Moderate
3,Chennai,13.110721,80.2459,32.9,11.9,51,2026-05-30,Hot,High,Moderate
4,Chennai,13.110721,80.2459,34.9,11.6,47,2026-05-30,Hot,High,Moderate
5,Chennai,13.110721,80.2459,36.8,8.3,42,2026-05-30,Hot,Moderate,Moderate
6,Chennai,13.110721,80.2459,32.5,22.9,60,2026-05-30,Hot,Very High,Moderate
7,Chennai,13.110721,80.2459,34.4,4.7,54,2026-05-30,Hot,Low,Moderate
8,Chennai,13.110721,80.2459,36.1,4.0,48,2026-05-30,Hot,Low,Moderate
9,Chennai,13.110721,80.2459,36.3,2.2,46,2026-05-30,Hot,Low,Moderate
10,Chennai,13.110721,80.2459,36.2,2.5,46,2026-05-30,Hot,Low,Moderate
11,Chennai,13.110721,80.2459,35.4,1.0,49,2026-05-30,Hot,Low,Moderate
12,Chennai,13.110721,80.2459,34.5,2.3,53,2026-05-30,Hot,Low,Moderate
13,Chennai,13.110721,80.2459,33.5,3.8,56,2026-05-30,Hot,Low,Moderate
14,Chennai,13.110721,80.2459,33.0,5.0,58,2026-05-30,Hot,Low,Moderate
15,Chennai,13.110721,80.2459,32.7,6.5,59,2026-05-30,Hot,Moderate,Moderate
16,Chennai,13.110721,80.2459,32.0,8.0,62,2026-05-30,Medium,Moderate,High
17,Chennai,13.110721,80.2459,31.4,8.0,64,2026-05-30,Medium,Moderate,High
18,Chennai,13.110721,80.2459,30.8,7.1,69,2026-05-30,Medium,Moderate,High
19,Chennai,13.110721,80.2459,30.4,6.9,72,2026-05-30,Medium,Moderate,High
